"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","EV","ERA","FIP","xFIP","WAR","playerid"
"Tyler Glasnow","Rays","5","1","0","11","11","57.1","14.28","3.45","1.73",".281","78.6%","38.7%","23.4%","90.4","4.08","3.66","2.75","1.2","14374"
"Jose Berrios","Twins","5","4","0","12","12","63.0","9.71","3.71","1.14",".295","77.5%","40.4%","13.1%","88.7","4.00","4.06","4.28","1.1","14168"
"Yusei Kikuchi","Mariners","2","4","0","9","9","47.0","9.00","3.83","0.57",".306","59.9%","52.0%","9.4%","89.4","5.17","3.30","3.78","1.1","20633"
"Lance McCullers Jr.","Astros","3","3","0","11","11","55.0","9.16","3.27","0.82",".277","64.5%","59.7%","15.2%","89.3","3.93","3.70","3.68","1.1","14120"
"Raisel Iglesias","Reds","4","3","8","22","0","23.0","12.13","1.96","0.39",".283","53.4%","41.5%","5.3%","86.7","2.74","1.84","2.87","1.1","17130"
"Michael Pineda","Twins","2","0","0","5","5","26.2","8.44","2.36","0.00",".321","69.7%","38.2%","0.0%","86.0","3.38","2.22","4.46","1.1","5372"
"James Karinchak","Indians","1","2","1","27","0","27.0","17.67","5.33","0.33",".333","73.4%","23.1%","5.6%","87.7","2.67","1.52","2.33","1.1","20151"
"Antonio Senzatela","Rockies","5","3","0","12","12","73.1","5.03","2.21","1.10",".268","79.6%","50.8%","12.9%","88.3","3.44","4.57","4.81","1.1","15488"
"Sean Manaea","Athletics","4","3","0","11","11","54.0","7.50","1.33","1.17",".311","60.5%","50.3%","14.3%","90.6","4.50","3.71","3.77","1.1","15873"
"Ian Anderson","Braves","3","2","0","6","6","32.1","11.41","3.90","0.28",".250","73.0%","52.5%","4.5%","86.7","1.95","2.54","3.45","1.1","19951"
"Brad Hand","Indians","2","1","16","23","0","22.0","11.86","1.64","0.00",".255","57.9%","26.5%","0.0%","87.5","2.05","1.37","3.83","1.1","9111"
"Adam Wainwright","Cardinals","5","3","0","10","10","65.2","7.40","2.06","1.23",".247","78.8%","43.4%","13.8%","87.3","3.15","4.11","4.23","1.0","2233"
"Tyler Mahle","Reds","2","2","0","10","9","47.2","11.33","3.97","1.13",".255","75.1%","29.3%","10.3%","87.4","3.59","3.88","4.59","1.0","16358"
"Joe Musgrove","Pirates","1","5","0","8","8","39.2","12.48","3.63","1.13",".318","77.3%","48.4%","17.2%","85.1","3.86","3.42","3.19","1.0","12970"
"Brady Singer","Royals","4","5","0","12","12","64.1","8.53","3.22","1.12",".260","72.9%","53.1%","15.1%","88.5","4.06","4.08","4.05","1.0","25377"
"Kyle Freeland","Rockies","2","3","0","13","13","70.2","5.86","2.93","1.15",".305","76.3%","51.5%","15.8%","87.3","4.33","4.65","4.55","1.0","16256"
"Ryan Yarbrough","Rays","1","4","0","11","9","55.2","7.11","1.94","0.81",".295","77.3%","41.9%","10.2%","82.6","3.56","3.80","4.33","1.0","16502"
"Sixto Sanchez","Marlins","3","2","0","7","7","39.0","7.62","2.54","0.69",".303","75.9%","58.0%","9.4%","87.9","3.46","3.50","4.08","1.0","19680"
"Mike Mayers","Angels","2","0","2","29","0","30.0","12.90","2.70","0.60",".242","71.4%","32.8%","6.3%","89.0","2.10","2.19","3.38","0.9","15451"
"Drew Smyly","Giants","0","1","0","7","5","26.1","14.35","3.08","0.68",".310","68.7%","41.7%","9.5%","90.6","3.42","2.01","2.56","0.9","11760"
"Jordan Montgomery","Yankees","2","3","0","10","10","44.0","9.61","1.84","1.43",".320","65.0%","42.9%","16.7%","84.6","5.11","3.87","3.65","0.9","16511"
"Charlie Morton","Rays","2","2","0","9","9","38.0","9.95","2.37","0.95",".355","70.0%","41.6%","10.5%","89.4","4.74","3.45","4.01","0.9","4676"
"Mike Minor","- - -","1","6","0","12","11","56.2","9.85","3.18","1.75",".269","62.9%","35.9%","15.7%","87.5","5.56","4.64","4.50","0.9","10021"
"Edwin Diaz","Mets","2","1","6","26","0","25.2","17.53","4.91","0.70",".381","89.7%","43.2%","13.3%","86.6","1.75","2.18","2.29","0.9","14710"
"Sandy Alcantara","Marlins","3","2","0","7","7","42.0","8.36","3.21","0.86",".274","63.9%","49.1%","11.8%","88.8","3.00","3.72","4.04","0.9","18684"
"Nathan Eovaldi","Red Sox","4","2","0","9","9","48.1","9.68","1.30","1.49",".336","82.7%","48.9%","20.0%","90.1","3.72","3.87","3.32","0.9","9132"
"Freddy Peralta","Brewers","3","1","0","15","1","29.1","14.42","3.68","0.61",".328","67.3%","35.0%","7.7%","86.9","3.99","2.41","3.23","0.9","18679"
"Evan Marshall","White Sox","2","1","0","23","0","22.2","11.91","2.78","0.40",".291","79.6%","54.5%","7.7%","88.3","2.38","2.04","2.58","0.9","12297"
"Randy Dobnak","Twins","6","4","0","10","10","46.2","5.21","2.51","0.58",".307","73.2%","62.1%","9.4%","87.8","4.05","3.96","4.45","0.8","23798"
"Josh Lindblom","Brewers","2","4","0","12","10","45.1","10.32","3.18","1.19",".316","66.5%","26.9%","12.2%","87.8","5.16","3.88","4.24","0.8","7882"
"Jose Cisnero","Tigers","3","3","0","29","0","29.2","10.31","3.03","0.30",".293","75.1%","36.8%","3.2%","90.0","3.03","2.65","4.23","0.8","6399"
"Masahiro Tanaka","Yankees","3","3","0","10","10","48.0","8.25","1.50","1.69",".291","72.7%","43.3%","16.4%","88.5","3.56","4.42","4.19","0.8","15764"
"Jesus Luzardo","Athletics","3","2","0","12","9","59.0","9.00","2.59","1.37",".306","78.0%","45.2%","17.6%","88.9","4.12","4.19","3.88","0.8","19959"
"Steven Brault","Pirates","1","3","0","11","10","42.2","8.02","4.64","0.42",".243","73.3%","49.1%","5.9%","85.8","3.38","3.92","4.85","0.8","15291"
"Keegan Akin","Orioles","1","2","0","8","6","25.2","12.27","3.51","1.05",".358","62.1%","34.8%","10.7%","91.4","4.56","3.27","3.85","0.8","19362"
"Griffin Canning","Angels","2","3","0","11","11","56.1","8.95","3.67","1.28",".307","73.4%","36.3%","11.8%","88.9","3.99","4.33","4.81","0.8","19867"
"Tyler Clippard","Twins","2","1","0","26","2","26.0","9.00","1.38","0.69",".258","69.3%","29.4%","5.9%","86.5","2.77","2.65","4.17","0.8","5640"
"Deivi Garcia","Yankees","3","2","0","6","6","34.1","8.65","1.57","1.57",".290","65.5%","33.3%","12.2%","89.4","4.98","4.15","4.63","0.8","20276"
